ServiceType,Category,Name,NetworkProvider,Out-Of-NetworkProvider,Limitations,####
Diagnostic test,Laboratory Tests,Complete blood count (CBC),40% coinsurance,Not covered,not provided,####
Diagnostic test,Laboratory Tests,Blood chemistry panel,40% coinsurance,Not covered,not provided,####
Diagnostic test,Laboratory Tests,Urinalysis,40% coinsurance,Not covered,not provided,####
Diagnostic test,Laboratory Tests,Lipid profile (cholesterol testing),40% coinsurance,Not covered,not provided,####
Diagnostic test,Laboratory Tests,Blood glucose testing,40% coinsurance,Not covered,not provided,####
Diagnostic test,Laboratory Tests,"Genetic testing (e.g., for hereditary diseases)",40% coinsurance,Not covered,not provided,####
Imaging ,Imaging Studies,"X-rays (chest X-ray, skeletal X-rays)",40% coinsurance,Not covered,"Prior authorization required for some
outpatient imaging tests. Penalty for outof-network: no coverage.",####
Imaging ,Imaging Studies,Computed tomography (CT) scans,40% coinsurance,Not covered,"Prior authorization required for some
outpatient imaging tests. Penalty for outof-network: no coverage.",####
Imaging ,Imaging Studies,Magnetic resonance imaging (MRI),40% coinsurance,Not covered,"Prior authorization required for some
outpatient imaging tests. Penalty for outof-network: no coverage.",####
Imaging ,Imaging Studies,"Ultrasounds (abdominal, pelvic, fetal)",40% coinsurance,Not covered,"Prior authorization required for some
outpatient imaging tests. Penalty for outof-network: no coverage.",####
Imaging ,Imaging Studies,Mammography (breast imaging),40% coinsurance,Not covered,"Prior authorization required for some
outpatient imaging tests. Penalty for outof-network: no coverage.",####
Imaging ,Imaging Studies,Bone density scans (DEXA scans),40% coinsurance,Not covered,"Prior authorization required for some
outpatient imaging tests. Penalty for outof-network: no coverage.",####
Diagnostic test,Cardiac Tests,Electrocardiogram (ECG or EKG),40% coinsurance,Not covered,not provided,####
Diagnostic test,Cardiac Tests,Echocardiogram,40% coinsurance,Not covered,not provided,####
Diagnostic test,Cardiac Tests,Stress tests (treadmill or pharmacological),40% coinsurance,Not covered,not provided,####
Diagnostic test,Endoscopic and Colonoscopic Procedures,Upper gastrointestinal endoscopy (EGD),40% coinsurance,Not covered,not provided,####
