Search terms,PlanId,Service,Service component,Description,ServiceTypeCode,Preventive/Diagnostic,Specialty,Facility,Copay,Coinsurance,DeductibleApplies,AuthorizationRequired,MaximumCount,Default,Important_Info,In-Network Covered,Out-of-Network Covered,Carrier,Plan Name,Year,Start date,End date,In-network Deductible (individual),In-network Deductible (family),In-network Out of pocket max (individual),In-network Out of pocket max (family),Out of-network Deductible (individual),Out of-network Deductible (family),Out of-network Out of pocket max (individual),Out of-network Out of pocket max (family),####
"What is my coverage for physical therapy? ""PT"", ""Physcial Therapy preventive"" , ""Physcial Therapy"", ""Physiotherapy"", ""Rehabilitative"", ""PT sessions"", ""Injury rehab"", ""Exercises"", ""PT Exercises"", ""Recovery Work"", ""Strengthening"", ""Stretching"", ""Movement"", ""Movement Therapy"",more...",Gold,Rehabilitation services- preventive,preventive,Physical therapy- preventive,"STC ""PT"" (Physical Therapy)",Preventive,Rehabilitation services,Outpatient,$45 ,30% coinsurance facility fees,No,No,25 visits,"
",Limited to 25 outpatient visits per calendar year,Yes,No,Premera Blue Cross,Preferred Gold EPO 1500,2024,1/1/2024,31-12-2024,"$1,500 ","$3,000 ","$6,800 ","$13,600 ",N/A,N/A,N/A,N/A,####
"What is my coverage for physical therapy? ""Diagnostic Therapy "", ""Diagnostic Physcial Therapy "",  ""Diagnostive Physcial Therapy"", ""Diagnostic PT"", ""Diagnostic Rehabilitation Therapy"" ,""Diagnostic Physiotherapy"", ""Clinical Diagnostic Therapy"", ""Diagnostic Movement Therapy"", ""Diagnostic Physical Rehabilitation"", ""Diagnostic Treatment Therapy"", ""Diagnostic Assessment"",  ""Rehabilitation Diagnostics"", ""Orthopedic Diagnostics"", ""Physical Health Diagnostics"",  more..",Gold,Rehabilitation services- diagnostic, diagnostic,Physical therapy- diagnostic,"STC ""PT"" (Physical Therapy)",Diagnostic,Rehabilitation services,Inpatient,0,30% coinsurance facility fees,No,No,30 days,"
",Limited to 30 days inpatient coverage per calendar year,Yes,No,Premera Blue Cross,Preferred Gold EPO 1500,2024,1/1/2024,31-12-2024,"$1,500 ","$3,000 ","$6,800 ","$13,600 ",N/A,N/A,N/A,N/A,####
"What is my benefit for colonoscopy? ""Colonoscopy preventative"", ""Colonoscopy for ages 45 and older"" ""Colon Cancer Screening"", ""Colonoscopy Screening"", ""Preventive Colon Screening"", ""Colonoscopies"", ""Colorectal Cancer Screening"", more...",Gold,Colonoscopy - preventive,Outpatient surgery,Preventive care/screening/Immunization,"STC ""81"" (Routine Physical)",Preventive,Surgery,Outpatient,0,0,No,No,N/A,"
",You may have to pay for services that aren't prevenative. Ask your provider if the services are preventive. Then check what your plan will pay for.,Yes,No,Premera Blue Cross,Preferred Gold EPO 1500,2024,1/1/2024,31-12-2024,"$1,500 ","$3,000 ","$6,800 ","$13,600 ",N/A,N/A,N/A,N/A,####
"What is my benefit for colonoscopy? ""Colonoscopy diagnositic"", Colonoscopy for ages 44 and younger"", ""Colon Cancer diagnositic"", ""Colorectal Cancer diagnositic"", ""Colon symptoms"", ""Colon investigation"", more...",Gold,Colonoscopy - diagnostic,Outpatient surgery,Outpatient surgery,"STC ""2"" (Surgical)",Diagnostic,Surgery,Outpatient,0,30%,Yes,No,N/A,"
",N/A,Yes,No,Premera Blue Cross,Preferred Gold EPO 1500,2024,1/1/2024,31-12-2024,"$1,500 ","$3,000 ","$6,800 ","$13,600 ",N/A,N/A,N/A,N/A,####
"What is my coverage for my annual check-up? ""Routine visit"", ""Preventive care visit"", ""Annual physical examinations"", ""Flu vaccine"", more...",Gold,Preventive care,Physician visit - prevenative care,Preventive care/screening/Immunization,"STC ""81"" (Routine Physical)",Preventive,PCP,Office,0,0,No,No,N/A,"
",You may have to pay for services that aren't prevenative. Ask your provider if the services are preventive. Then check what your plan will pay for.,Yes,No,Premera Blue Cross,Preferred Gold EPO 1500,2024,1/1/2024,31-12-2024,"$1,500 ","$3,000 ","$6,800 ","$13,600 ",N/A,N/A,N/A,N/A,####
"What is my coverage to see a doctor for [illness/injury], ""Management of chronic conditions"", ""Respiratory infections (common cold, flu, bronchitis)"", ""flu"", ""Headaches and migraines"", ""Fatigue and general tiredness"", ""General health concern visit"", more...",Gold,"Primary care - sickness, injury",Physician visit - sick,Professional (Physician) Visit - Office,"STC ""98"" Professional (Physician) Visit - Office",Diagnostic,PCP,Office,"No charge for the first 2 visits, then a $15 copayment per visit",N/A,No,No,N/A,"
",N/A,Yes,No,Premera Blue Cross,Preferred Gold EPO 1500,2024,1/1/2024,31-12-2024,"$1,500 ","$3,000 ","$6,800 ","$13,600 ",N/A,N/A,N/A,N/A,####
"What is my coverage to see a [specialist], ""Cardiologist"", ""Dermatologist"", ""Gastroenterologist"", ""Podiatrist"", ""gastroenterologist"", ""Nutritionist"",""pulmonologist "", more…",Gold,Specialist visit,Specialist visit,Professional (Physician) Visit - Office,"STC ""98"" Professional (Physician) Visit - Office",Diagnostic,Specialist,Office,$45 ,N/A,No,No,N/A,"
",N/A,Yes,No,Premera Blue Cross,Preferred Gold EPO 1500,2024,1/1/2024,31-12-2024,"$1,500 ","$3,000 ","$6,800 ","$13,600 ",N/A,N/A,N/A,N/A,####
"Tell me my plan benefits for [lab/test], ""Allergy tests"", ""Skin tests"", ""Blood tests"", ""Blood work"", ""Labs"", ""Muscule tests"", ""Sleep study"", ""Spirometry Test"", ""Extremity Arterial Studies"", ""Vitamin D Test"", ""Urine Culture Test"", ""Urine Pregnancy Test"", ""Total Calcium Test"", more...",Gold,Diagnostic test,Diagnostic lab,Diagnostic Lab,"STC ""5"" (Diagnostic Lab)",Diagnostic,Medical Laboratory,Outpatient,0,30%,Yes,Yes,N/A,"
",N/A,Yes,No,Premera Blue Cross,Preferred Gold EPO 1500,2024,1/1/2024,31-12-2024,"$1,500 ","$3,000 ","$6,800 ","$13,600 ",N/A,N/A,N/A,N/A,####
"What is my coverage for [imaging service], ""Chest X-Ray"", ""Mammogram of One Breast"", ""Radiologic Examination"", ""X-Ray Exam of Knee (3 views)"", ""MRI Neck Spine"", ""CT Scan"",  ""CT/PET"", ""CT/PET Scan"", ""MRI"", more...",Gold,Diagnostic test (Blood work/X-ray),X-Ray,Diagnostic imaging,"STC ""4"" (Diagnostic X-Ray)",Diagnostic,Radiology,Outpatient,0,30%,Yes,Yes,N/A,"
",Prior authorization required for some outpatient imaging tests. Penalty for out- of-network: no coverage.,Yes,No,Premera Blue Cross,Preferred Gold EPO 1500,2024,1/1/2024,31-12-2024,"$1,500 ","$3,000 ","$6,800 ","$13,600 ",N/A,N/A,N/A,N/A,####
"What is my plan benefit for mammogram? ""Breast Screening"", ""Screening Mammogram"", ""Breast Cancer Screening"", ""Wellness Mammogram"", ""Routine Mammogram"", ""Annual Mammogram"", more...",Gold,Preventive care,Mammogram - prevenative,Preventive care/screening/Immunization,"STC ""81"" (Routine Physical)",Preventive,Radiology,Outpatient,0,0,No,No,N/A,Yes,You may have to pay for services that aren't preventative. Ask your provider if the services are preventive. Then check what your plan will pay for.,Yes,No,Premera Blue Cross,Preferred Gold EPO 1500,2024,1/1/2024,31-12-2024,"$1,500 ","$3,000 ","$6,800 ","$13,600 ",N/A,N/A,N/A,N/A,####
